planet_name,planetary_mass,planetary_radius,orbital_period,star_mass,star_radius,star_teff,semi_major_axis,planet_updated,planet_discovered
TOI-1899 b,213.01874163320022,11.09691,29.090312,0.627,0.607,3841.0,0.1525,2023-08-04,2020
TOI-1937 Ab,639.0562248996005,13.977623000000001,0.94667944,1.072,1.08,5814.0,0.01932,2025-02-11,2022
TOI-199 Ab,54.049531459170204,10.872729999999999,104.869,0.936,0.82,5255.0,0.48,2025-11-21,2023
TOI-2000 b,10.301204819277142,2.6397194999999996,3.098331,1.074,1.113,5607.0,0.0426,2022-09-30,2022
TOI-2000 c,75.73293172690789,7.969599,9.1270553,1.074,1.113,5607.0,0.0875,2022-09-30,2022
TOI-2005 b,2034.805890227584,11.99363,17.305904,1.59,2.02,7130.0,0.16,2025-03-28,2025
TOI-2010 Ab,408.8688085676052,11.814286000000001,141.834025,1.112,1.075,5929.0,0.5516,2024-07-28,2023
TOI-2015 b,9.188420348058933,3.3100177,3.348237,0.342,0.333,3194.0,0.0293,2025-02-12,2023
TOI-2019 b,34.623493975903735,5.660545,15.3444,0.987,1.797,5588.0,0.1203,2024-06-26,2024
TOI-201 b,133.53413654618518,11.209,52.97818,1.316,1.317,6394.0,0.3,2021-03-05,2021
TOI-2025 b,1398.929049531464,12.55408,8.872086,1.32,1.56,5880.0,0.089,2022-05-02,2022
TOI-2031 Ab,254.350736278448,14.201802999999998,5.71548654,1.174,1.241,6490.0,0.066,2025-07-03,2025
TOI-2045 b,211.07931726907705,12.684104399999999,9.077534,1.157,1.723,6125.85,0.093,2024-07-27,2024
TOI-2068 Ab,4.387550200803227,1.8203416,7.768915,0.559,0.535,3710.0,0.0632,2024-08-05,2023
TOI-206 b,2.1937751004016137,1.300244,0.7363104,0.35,0.35,3383.0,0.0112,2022-01-30,2022
TOI-2076 b,3.401941097724242,2.5399594,10.35523,0.849,0.758,5200.0,0.088,2024-08-21,2021
TOI-2076 c,4.61010709504687,3.3503700999999997,21.01549,0.849,0.758,5200.0,0.1411,2024-08-21,2021
TOI-2076 d,7.31258366800538,3.2898414999999996,35.12551,0.849,0.758,5200.0,0.1988,2024-08-21,2021
